"Rownum","Rent"
169,57755.9257550558
246,45038.6380311113
234,29438.4225056321
57,56912.9866604021
341,22935.0777087719
285,92188.8146748033
88,40046.0567374441
136,7268.28169814663
257,4070.36143222031
327,71835.514338278
305,67390.1684982949
93,46373.85613604
232,306.218854965674
141,41770.1848910801
58,30217.0138845722
38,21456.0368103681
281,69996.4085733253
221,9941.09237445499
180,30670.2903612154
64,100581.678803865
371,53008.7670395004
321,24266.0628233134
218,39876.2485130963
152,18792.1877871728
256,23167.5480542111
90,46262.6038326762
165,56197.986664633
242,54055.5473939051
89,90962.3258511565
21,27997.3581560324
223,131.775393776518
304,57065.035195079
106,89512.0497351771
259,52720.2523878807
450,58012.2726617053
283,53207.572384951
418,33496.926423516
114,40976.9391566018
267,106.557221526361
126,62039.0542276213
107,42524.8471187047
82,50003.6253442028
79,42054.8263226232
117,91536.3163429245
29,3488.60242986245
252,32764.333432435
360,49149.1273339713
211,51569.8979209732
300,84806.5466177946
410,62656.1520013633
54,88319.9123296177
132,79887.0475638895
68,58947.1448632622
92,309590.694363729
81,33951.8476998719
216,16918.6823645813
77,68067.4885850008
324,16591.6378729488
95,105872.008213283
98,25784.3217618877
100,60679.7471584241
312,42023.0581383865
461,48680.420938271
55,259684.225151582
83,344543.066024636
393,53531.0982766375
163,7255.43401669835
99,38239.2887803796
239,33223.406066699
188,39356.747174672
118,41331.7079358864
309,52764.7466938012
74,45630.9489724626
96,311589.695643288
19,-795.428399809444
27,983.696567262409
187,38082.2251309401
170,36620.3008223046
87,22863.7609203856
243,65253.0875630566
121,220252.027799763
249,22409.2280414441
80,48472.192390767
307,20362.912857587
266,26323.273347925
310,39145.9011153363
86,70571.6357649905
76,61256.7640862812
430,95417.7851114789
65,43862.3599215429
291,34879.1319651176
248,9129.30983755759
364,40062.3906565919
233,55223.8470267522
122,57770.3667150023
25,36713.5026710101
69,30818.3722363999
91,240293.144468155
60,34080.19683772
84,37094.9067518795
51,231809.970958931
130,45850.9923256424
111,95564.7757718302
153,23403.8582806492
97,27713.7675900186
210,7503.87252138262
120,83480.5440303319
129,256077.426290562
358,17917.0894019512
115,263473.828918802
127,30759.9813727047
451,55940.2476278041
228,7602.79743323419
102,33792.9514387166
199,94095.4907178803
241,50227.6406005465
235,46581.5448787154
260,14556.2956578027
361,63368.6398507065
133,47691.3060380791
72,52313.1180075013
125,37677.8105767372
63,37855.9867624029
244,50227.6406005465
61,50157.3391005142
67,65354.5323260994
52,41359.1144838978
462,22230.2558121811
50,89278.809481704
85,27052.0902089422
78,257546.503892113
59,71923.5050157402
112,68077.3379756368
105,50100.8769618554
110,36407.4749500206
128,32553.6381981509
109,56148.0069380255
56,73810.9822803684
351,46417.7247232424
104,223576.449430512
311,46164.2857104713
376,71624.1217789731
204,29501.2925971212
94,119255.838580713
108,45567.526276554
62,239370.509331978
53,63327.7824619142
329,102838.162092318
458,67029.0376230039
73,87140.5595963743
101,65641.9557403504
123,35292.2835938298
103,25381.7463432355
387,49566.6328062694
177,42770.6506561335
155,23719.1573151243
335,19248.673255014
184,28748.1854408858
411,40416.9340613149
382,-3058.46638581139
265,17266.4759428029
168,34940.4886504491
30,-486.251506053895
6,4005.59129476652
5,-700.044098235695
213,5416.23783480248
160,25115.0802914619
262,23324.1961224904
278,24386.5940716094
203,19857.543735368
164,10372.3726948058
323,11344.5151117955
9,11167.8829048264
151,22957.5739522385
171,31893.1972052906
185,51467.6239342895
253,32029.1222746325
362,25832.5812530516
205,-510.688329277462
209,26529.2489933389
466,31541.942752206
176,35027.5579960374
134,29836.6824554742
298,27018.2954901024
186,5517.54693675579
384,53020.9338153223
465,12539.1044523764
353,40548.5845325392
217,-9571.55077490935
273,2856.13633774891
247,41514.2418949809
380,14900.3163794615
422,28325.9341675523
138,22670.0000112783
446,37849.7796017036
325,23898.6095965522
346,1958.42423544401
32,31460.8238817969
373,13417.2093891899
275,14338.5376480158
167,21605.232073239
391,3470.57754400071
349,8024.88157073942
48,-2501.71418778165
143,17431.9282309651
181,9472.8978568424
139,6265.11638759249
370,8034.45266462326
276,21399.2722237342
15,258.440361729712
146,35242.9376961882
