"Rownum","Rent"
169,95323.954951768
246,82606.6672278236
234,67006.4517023444
57,94481.0158571144
341,60503.1069054842
285,129756.843871516
88,77614.0859341563
136,44836.3108948589
257,41638.3906289326
327,109403.54353499
305,104958.197695007
93,83941.8853327523
232,37874.2480516779
141,79338.2140877924
58,67785.0430812844
38,59024.0660070804
281,107564.437770038
221,47509.1215711673
180,68238.3195579277
64,138149.708000577
371,90576.7962362127
321,61834.0920200257
218,77444.2777098085
152,56360.2169838851
256,60735.5772509234
90,83830.6330293885
165,93766.0158613453
242,91623.5765906174
89,128530.355047869
21,65565.3873527446
223,37699.8045904888
304,94633.0643917912
106,127080.078931889
259,90288.281584593
450,95580.3018584176
283,90775.6015816632
418,71064.9556202282
114,78544.9683533141
267,37674.5864182386
126,99607.0834243336
107,80092.8763154169
82,87571.654540915
79,79622.8555193355
117,129104.345539637
29,41056.6316265747
252,70332.3626291473
360,86717.1565306836
211,89137.9271176855
300,122374.575814507
410,100224.181198076
54,125887.94152633
132,117455.076760602
68,96515.1740599745
92,347158.723560441
81,71519.8768965841
216,54486.7115612936
77,105635.517781713
324,54159.667069661
95,143440.037409995
98,63352.3509586
100,98247.7763551364
312,79591.0873350988
461,86248.4501349832
55,297252.254348294
83,382111.095221348
393,91099.1274733498
163,44823.4632134106
99,75807.3179770919
239,70791.4352634113
188,76924.7763713842
118,78899.7371325986
309,90332.7758905135
74,83198.9781691749
96,349157.72484
19,36772.6007969028
27,38551.7257639747
187,75650.2543276524
170,74188.3300190169
87,60431.7901170979
243,102821.116759769
121,257820.056996475
249,59977.2572381564
80,86040.2215874792
307,57930.9420542993
266,63891.3025446373
310,76713.9303120486
86,108139.664961703
76,98824.7932829935
430,132985.814308191
65,81430.3891182552
291,72447.1611618299
248,46697.3390342699
364,77630.4198533042
233,92791.8762234645
122,95338.3959117146
25,74281.5318677223
69,68386.4014331121
91,277861.173664868
60,71648.2260344323
84,74662.9359485917
51,269378.000155644
130,83419.0215223547
111,133132.804968543
153,60971.8874773614
97,65281.7967867309
210,45071.9017180949
120,121048.573227044
129,293645.455487274
358,55485.1185986635
115,301041.858115515
127,68328.0105694169
451,93508.2768245164
228,45170.8266299465
102,71360.9806354289
199,131663.519914593
241,87795.6697972588
235,84149.5740754277
260,52124.324854515
361,100936.669047419
133,85259.3352347914
72,89881.1472042136
125,75245.8397734495
63,75424.0159591152
244,87795.6697972588
61,87725.3682972265
67,102922.561522812
52,78927.1436806101
462,59798.2850088934
50,126846.838678416
85,64620.1194056545
78,295114.533088825
59,109491.534212452
112,105645.367172349
105,87668.9061585676
110,73975.5041467329
128,70121.6673948632
109,93716.0361347378
56,111379.011477081
351,83985.7539199547
104,261144.478627224
311,83732.3149071836
376,109192.150975685
204,67069.3217938335
94,156823.867777426
108,83135.5554732662
62,276938.53852869
53,100895.811658626
329,140406.19128903
458,104597.066819716
73,124708.588793087
101,103209.984937063
123,72860.312790542
103,62949.7755399478
387,87134.6620029817
177,80338.6798528457
155,61287.1865118366
335,56816.7024517263
184,66316.2146375981
411,77984.9632580271
382,34509.5628109009
265,54834.5051395152
168,72508.5178471614
30,37081.7776906584
6,41573.6204914788
5,36867.9850984766
213,42984.2670315147
160,62683.1094881742
262,60892.2253192027
278,61954.6232683217
203,57425.5729320802
164,47940.4018915181
323,48912.5443085078
9,48735.9121015387
151,60525.6031489508
171,69461.2264020029
185,89035.6531310018
253,69597.1514713448
362,63400.6104497639
205,37057.3408674348
209,64097.2781900512
466,69109.9719489183
176,72595.5871927497
134,67404.7116521864
298,64586.3246868147
186,43085.5761334681
384,90588.9630120346
465,50107.1336490887
353,78116.6137292514
217,27996.4784218029
273,40424.1655344612
247,79082.2710916932
380,52468.3455761737
422,65893.9633642645
138,60238.0292079906
446,75417.8087984159
325,61466.6387932644
346,39526.4534321563
32,69028.8530785092
373,50985.2385859022
275,51906.5668447281
167,59173.2612699512
391,41038.606740713
349,45592.9107674517
48,35066.3150089306
143,54999.9574276774
181,47040.9270535547
139,43833.1455843048
370,45602.4818613355
276,58967.3014204464
15,37826.469558442
146,72810.9668929005
368,86828.9743344102
279,49823.4548825734
337,103217.496520319
331,60098.1515493661
315,45246.2234929067
198,44450.8341858296
409,60627.8491336667
149,63483.2931117677
208,56428.0382111106
354,40641.2128745354
174,41145.3101147154
212,67446.8229398172
192,63491.0009759636
296,50790.093969853
142,74932.9968066957
440,49766.3809836411
158,69144.9899338906
207,43949.9781783809
229,37886.0298833382
236,48151.7925862249
175,48968.8210777997
258,29348.0766001932
396,75060.4222834794
357,42993.7139672219
162,50877.2683280746
194,40660.6682848851
301,68680.1130734373
226,67695.7320224056
47,60428.967509092
124,85047.9974357959
303,49363.8320091735
4,34922.2247418884
206,66370.3868577576
274,39820.0343732992
436,52156.6959293029
145,49082.354851451
332,80269.2137903243
340,89652.8239791206
240,53773.9889792017
254,82386.5187839931
245,45593.9626430333
435,41016.9617059965
264,50041.7274941942
173,55174.4250162574
261,52978.8189363977
314,55820.4249273825
224,37923.2879425094
366,63038.3415513607
140,65786.6853070899
297,47397.1464720268
156,52678.2696828457
137,58846.7473745215
369,57447.7517653932
45,68359.6592730051
191,47246.8656789647
231,315512.768225119
225,39957.9143205039
189,41072.1683176043
463,56105.9887563719
150,43885.615929771
263,85656.64226149
352,36134.0141983282
287,98565.2591658788
178,92587.5394335226
320,69684.4805475818
7,43408.5416882327
195,55078.6019324216
161,34770.5691531503
37,39182.0331581517
415,105400.589028622
343,90063.5464820547
388,62576.5546662441
41,70240.2470432849
334,53303.6552946524
347,47114.2326135217
251,30541.0460341563
401,55205.2512646025
330,70945.5748596543
289,65877.2783781337
157,51999.3326986769
402,84666.2876793885
193,70618.5270737421
459,134317.817663016
389,47886.4883698845
386,72087.1913983648
433,56651.5483004563
190,52134.6869664438
272,93645.4467455259
20,47677.0554053975
282,56316.1307581932
290,38442.8709007215
35,42521.6339310938
200,72877.626881556
367,70120.2568932216
313,63475.3736269757
431,41516.2415956934
424,59667.0810489145
405,72802.8637043442
339,47770.4296587242
399,56053.5010382885
454,61601.2218231404
116,108997.512069645
202,83576.7160273439
404,55467.8531389663
392,72674.5112603429
222,39287.5919598033
280,57889.5378799602
363,75681.7075480791
372,58702.4213463489
28,34592.76243592
318,50344.1594236843
406,201648.177377549
342,58643.5318603235
383,76631.6410852568
215,96986.9535843495
377,75032.677090673
277,284247.88833491
159,50047.7169367424
271,42265.3735075119
172,61669.8543074624
333,48902.0600756423
400,68176.9669128083
326,57066.044582879
365,61724.979047933
182,58553.9303779819
18,42553.5465102815
407,95479.5087922438
292,43524.5064963292
355,55837.410957617
284,61846.9044615307
420,73281.9933398655
308,45540.6313583427
336,59721.6974387763
183,40932.6172138163
322,54381.4051429624
427,80602.2362691013
131,61203.6684871899
270,67332.5232461674
268,67350.849569633
452,56108.9607097195
113,61773.1478640915
437,85877.1218444385
419,50240.5615771795
22,66811.9131912888
456,95584.043400908
148,77292.3804588958
179,69524.9906181069
154,38830.4575861852
220,59850.0518916145
398,114575.365496215
378,79226.6687144585
255,52782.2909991128
394,49988.8870103645
269,53687.6484771654
214,43639.7560630228
31,45934.252903821
412,63196.2841035869
11,66965.8829387263
237,68492.7091709772
408,37883.798033972
441,56246.5837901294
426,56858.4744027639
44,54204.6619178996
3,66223.7173827049
306,46625.35245989
26,67140.1672128581
70,59538.8719786151
403,57615.0131262789
13,42982.4939253653
40,55013.0419463061
230,34782.0093718879
17,73213.6203442287
42,38975.554228384
356,49028.3294096705
66,263136.622156842
46,56895.1132349334
24,64560.8068940547
14,42332.0059146447
201,41845.0979015791
302,48039.6977529804
39,36761.0815085608
438,51069.2852892324
444,34993.3600994365
16,60142.7257059179
33,40453.8192891259
75,70119.9513530225
432,40301.6323040922
416,59408.782003982
250,34213.8404316687
428,69684.4805475818
12,54686.3667333378
219,30744.7886379304
36,43780.9207388158
43,52308.4008163926
439,46434.6876395692
328,54741.0515637827
434,60046.1189353889
71,84647.7646881981
460,59443.8233185953
449,61069.7049885702
197,36536.126676539
467,54518.8905623015
299,42780.3505457864
1,42626.0270833263
381,56950.7562805056
49,42552.8250613956
413,63886.0641618841
455,73702.8443060724
379,70509.2754803823
166,63889.7757133328
447,42812.5093031936
359,57042.1553930609
294,278075.456621913
425,87493.2771013386
144,79261.7607705385
445,49924.445704699
34,65584.5252003721
443,40534.461911235
319,61398.3673258832
2,42320.5022712659
448,44227.8771952437
414,63043.5558309176
423,67383.9138269957
295,63618.0831954517
286,44974.3596442047
344,67878.1028028049
345,53764.8986176609
10,60779.4737506237
293,41395.3669659024
147,97582.2368400592
374,95239.8614147821
119,58816.6482154945
316,44931.5922709921
453,54539.3295363148
457,47323.2326933861
417,60348.887281657
464,56045.5863773071
23,45068.8460269951
350,67483.1858375383
227,56725.864295344
421,57435.7748157128
468,72950.9938813452
442,67818.7462739574
338,49612.4370397999
397,62650.6921396235
135,65760.8480408523
238,44832.4713426916
348,52022.612422826
375,52664.2457736884
288,50011.8500588355
390,64956.4448437171
196,71712.6777908385
385,56818.315638642
395,39603.7693458737
317,67101.9720444562
429,36444.2985706493
8,52934.7175594794
