"Rownum","Rent"
169,63359.2945181497
246,28123.9130628929
234,29470.0937666514
57,56445.5831913845
341,30164.3913902037
285,68810.132737228
88,77427.5272455294
136,13177.0332491249
257,11867.4878877978
327,37677.285714378
305,65767.8777974761
93,74927.8153689739
232,11867.4878877978
141,50822.0794187573
58,58661.7198075215
38,60307.7691624991
281,58922.3606214158
221,15471.5054214307
180,16675.6850640303
64,118557.184314987
371,42468.703055361
321,18811.522577589
218,63359.2945181497
152,17824.4416527332
256,28123.9130628929
90,51429.8509369208
165,63155.0939320612
242,63433.9358386735
89,100221.858730755
21,17952.6755703719
223,11663.2873017094
304,59078.8121844569
106,98628.6857273548
259,64450.7344124552
450,70668.2790688062
283,36705.6383359119
418,30977.8667903381
114,48489.6012683592
267,9851.2224509168
126,66370.3948564741
107,74927.8153689739
82,62173.3079653421
79,64147.4517412316
117,99843.1265933621
29,6653.43800982551
252,33071.8012015031
360,38889.7295996849
211,43280.2211177162
300,75143.9938742209
410,43172.5698883791
54,86926.3803946877
132,91738.6791763943
68,69601.029356692
92,249304.515970214
81,70668.2790688062
216,28127.071646561
77,74634.9731569757
324,24473.0081788834
95,117642.67499979
98,32233.1760932641
100,69451.4093450592
312,29550.7228057381
461,61548.1451652849
55,261005.599977997
83,328740.704874227
393,32725.0150845873
163,14627.2182383106
99,40227.985759994
239,46689.0846841106
188,25952.6542402807
118,33641.431209654
309,43145.4341971846
74,76804.9649134628
96,292615.315596238
19,5257.85075684452
27,11091.8480612521
187,23067.6820143639
170,35160.4852929713
87,27574.5633641366
243,31489.6431384429
121,230089.996560473
249,8004.81366559736
80,74927.8153689739
307,13607.9970370388
266,20040.8572119428
310,63155.0939320612
86,83208.4631861479
76,69112.8116685372
430,51932.6777515452
65,71201.9039248633
291,32155.9891835844
248,12589.3757662189
364,36621.8239614422
233,60307.7691624991
122,91212.8360270044
25,60307.7691624991
69,70668.2790688062
91,246894.14145751
60,38920.7733726214
84,70668.2790688062
51,219513.149454253
130,78405.8394816341
111,110034.82963749
153,18904.0601178763
97,65999.0615783066
210,11702.5068418051
120,87223.0055166457
129,247458.578998751
358,10625.3250750038
115,240762.493681615
127,65598.8429362638
451,38111.9481328051
228,15675.7060075192
102,69601.029356692
199,26855.7889722304
241,63359.2945181497
235,29771.1386773014
260,29674.2943527399
361,64036.4205826366
133,74927.8153689739
72,43350.1295781135
125,64531.5932241496
63,63197.5310840069
244,63359.2945181497
61,74927.8153689739
67,65732.2491502781
52,82986.1194961241
462,27727.6341303286
50,97503.1573693327
85,66866.2019693994
78,256489.926318249
59,84842.2949805518
112,72767.1473295093
105,74927.8153689739
110,73972.6483697751
128,67555.4674084731
109,77427.5272455294
56,74078.2923635167
351,20964.4799498908
104,231690.871128644
311,76760.1094907797
376,28441.1500328867
204,63597.7497260497
94,119076.791800443
108,50362.6012248066
62,233911.558019505
53,73325.8063969766
329,92095.1448392665
458,23271.5726415866
73,74927.8153689739
101,96549.0845875753
123,71201.9039248633
103,27612.7533519151
387,61925.0410426399
177,62873.5325939247
155,15643.9001742664
335,18119.6102391755
184,61261.0594654039
411,76760.1094907797
382,8102.90216265662
265,63155.0939320612
168,60317.0395783978
30,9061.79729502477
6,7054.84980484525
5,4345.44560899608
213,12309.8340634726
160,61946.7912995662
262,63155.0939320612
278,5619.10464962441
203,60317.0395783978
164,6761.04118634903
323,9606.7188557793
9,12797.4909445848
151,61261.0594654039
171,63359.2945181497
185,60317.0395783978
253,63155.0939320612
362,60307.7691624991
205,9362.84220567469
209,61417.511028445
466,24702.1062695731
176,60317.0395783978
134,63155.0939320612
298,20511.5573108961
186,13886.8966506234
384,62663.9062279498
465,6201.87064385065
353,61946.7912995662
217,5532.9003800884
273,15614.6734813831
247,63155.0939320612
380,13019.9690366051
422,61417.511028445
138,25707.0323835276
446,63359.2945181497
325,61261.0594654039
346,11269.478553944
32,60317.0395783978
373,14707.4900585968
275,15188.4731760803
167,14958.6386773515
391,9931.51604189236
349,9970.8611346906
48,6201.87064385065
143,13974.1823552085
181,9450.60720843255
139,12160.0114042817
370,8222.41699218463
276,27836.2190555876
15,5585.82161178193
146,60307.7691624991
368,62352.6755877746
279,12137.8084002441
337,33194.291987784
331,60760.6918014937
315,9428.80395739881
198,8374.74701712022
409,22022.8737332669
149,60317.0395783978
208,13015.3281369702
354,8717.47850432111
174,8872.84808232685
212,13131.8326965146
192,16362.1363782851
296,13014.1843371186
142,63155.0939320612
440,14417.848234156
158,22191.5550799743
207,12611.5787702566
229,7507.7724438399
236,26545.6574917666
175,15813.6256214964
258,7064.12022074397
396,63304.2560552183
357,8096.27420011508
162,7056.20507786504
194,3442.31087704635
301,16115.2144704387
226,46352.9394582404
47,60307.7691624991
124,60040.1140471753
303,9482.6270577033
4,3500.84723320151
206,64147.4517412316
274,9222.37316152459
436,7707.11377792006
145,12762.6537838774
332,43180.2390828342
340,63155.0939320612
240,63359.2945181497
254,63155.0939320612
245,24631.1721922153
435,8693.87194191243
264,20652.0263550462
173,12023.4461035885
261,14176.2343339205
314,61261.0594654039
224,6604.63771189018
366,61261.0594654039
140,61261.0594654039
297,7790.73720996271
156,10030.4940256947
137,60760.6918014937
369,11047.1405062768
45,60307.7691624991
191,11344.7795427203
231,315230.400533698
225,10632.5838469945
189,13177.0332491249
463,13939.8178823169
150,11415.4211419241
263,60317.0395783978
352,5248.5803409458
287,66868.3492475233
178,60350.1508408269
320,61417.511028445
7,12044.0096763153
195,4255.13213580111
161,8305.85857624727
37,4646.49051964598
415,64122.2284129572
343,63550.6586584115
388,31134.3183533792
41,60603.2092436857
334,20151.658691136
347,16740.194687741
251,6459.6416744468
401,9559.61443236072
330,29634.5733766082
289,31395.2239426091
157,8253.42461798157
402,61417.511028445
193,60307.7691624991
459,60317.0395783978
389,9970.8611346906
386,61925.0410426399
433,19754.8207308126
190,8710.59681341975
272,63832.2199965481
20,9745.07745170317
282,27376.7365467338
290,5709.41812281938
35,2834.61622628322
200,63433.9358386735
367,62046.0136908897
313,60307.7691624991
431,13209.5456016611
424,19156.219372694
405,63433.9358386735
339,10975.3153341954
399,63480.4695379053
454,60317.0395783978
116,84275.5196072013
202,61417.511028445
404,63359.2945181497
392,63155.0939320612
222,5524.51959488836
280,5700.14770692066
363,61946.7912995662
372,61417.511028445
28,3668.333628613
318,9446.48421853721
406,62010.3452998759
342,61261.0594654039
383,40611.6600093606
215,47833.8333162959
377,63359.2945181497
277,250910.49784717
159,6904.3273495203
271,7968.91247886871
172,60760.6918014937
333,10061.1746078856
400,14388.3864581277
326,14114.6557871658
365,23195.333995383
182,63359.2945181497
18,5793.86299942313
407,76760.1094907797
292,7339.16984398785
355,14731.4047129447
284,17725.2192614097
420,31188.2996190517
308,8498.19274998999
336,9463.20909004451
183,9156.55934993129
322,13197.5212551232
427,61548.1451652849
131,61261.0594654039
270,25319.9746412634
268,61417.511028445
452,60603.2092436857
113,34164.1298267408
437,32118.1985843963
419,11041.6910679208
