"","Posted.On","BHK","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact","rownum"
"20","2022-06-09",2,660,"1 out of 2","Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",1
"21","2022-07-02",2,650,"1 out of 2","Carpet Area","Santoshpur","Kolkata","Unfurnished","Family",1,"Contact Owner",2
"30","2022-06-25",2,850,"Ground out of 2","Super Area","Rabindra Sarobar Area, Dhakuria","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",3
"52","2022-06-25",1,450,"2 out of 2","Carpet Area","New Town","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",4
"68","2022-05-05",2,600,"Ground out of 2","Super Area","Amtala, Diamond Harbour Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5
"74","2022-05-30",2,700,"Ground out of 2","Super Area","Bandel","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",6
"93","2022-05-15",1,600,"2 out of 4","Super Area","Behala","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",7
"103","2022-05-14",3,1450,"Ground out of 1","Super Area","Ajoy Nagar","Kolkata","Unfurnished","Family",2,"Contact Owner",8
"125","2022-05-10",2,740,"Ground out of 6","Carpet Area","Sonarpur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",9
"147","2022-06-05",2,550,"2 out of 3","Super Area","Behala silpara","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",10
"170","2022-04-30",4,1300,"1 out of 2","Super Area","Ballygunge","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",11
"180","2022-07-03",3,1100,"Ground out of 2","Carpet Area","Survey Park","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",12
"181","2022-06-16",2,800,"Ground out of 2","Carpet Area","Baguiati","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",13
"199","2022-04-29",2,900,"Ground out of 1","Super Area","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",14
"227","2022-06-20",2,500,"4 out of 5","Carpet Area","Konnagar","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",15
"231","2022-06-17",1,700,"Ground out of 4","Super Area","Salt Lake City Sector 3","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",16
