"","Posted.On","BHK","Rent","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"1","2022-05-18",2,10000,1100,"Ground out of 2","Super Area","Bandel","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"2","2022-05-13",2,20000,800,"1 out of 3","Super Area","Phool Bagan, Kankurgachi","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"3","2022-05-16",2,17000,1000,"1 out of 3","Super Area","Salt Lake City Sector 2","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"4","2022-07-04",2,10000,800,"1 out of 2","Super Area","Dumdum Park","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"5","2022-05-09",2,7500,850,"1 out of 2","Carpet Area","South Dum Dum","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"6","2022-04-29",2,7000,600,"Ground out of 1","Super Area","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"7","2022-06-21",2,10000,700,"Ground out of 4","Super Area","Malancha","Kolkata","Unfurnished","Bachelors",2,"Contact Agent"
"8","2022-06-21",1,5000,250,"1 out of 2","Super Area","Malancha","Kolkata","Unfurnished","Bachelors",1,"Contact Agent"
"9","2022-06-07",2,26000,800,"1 out of 2","Carpet Area","Palm Avenue Kolkata, Ballygunge","Kolkata","Unfurnished","Bachelors",2,"Contact Agent"
"10","2022-06-20",2,10000,1000,"1 out of 3","Carpet Area","Natunhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"11","2022-05-23",3,25000,1200,"1 out of 4","Carpet Area","Action Area 1, Rajarhat Newtown","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"12","2022-06-07",1,5000,400,"1 out of 1","Carpet Area","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"13","2022-05-14",1,6500,250,"1 out of 4","Carpet Area","Tarulia, Keshtopur","Kolkata","Furnished","Bachelors",1,"Contact Owner"
"14","2022-05-09",1,5500,375,"1 out of 2","Carpet Area","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"15","2022-05-05",3,8500,900,"Ground out of 2","Carpet Area","Paschim Barisha","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"16","2022-06-01",3,40000,1286,"1 out of 1","Carpet Area","New Town Action Area 1","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner"
"17","2022-05-17",2,6000,600,"1 out of 2","Super Area","Barasat","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"18","2022-06-20",2,10000,800,"Ground out of 2","Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"19","2022-06-09",2,11000,2000,"Ground out of 3","Carpet Area","Behala Chowrasta","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"22","2022-06-14",2,9000,400,"2 out of 3","Carpet Area","Garia Station, Garia","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"23","2022-06-15",1,4000,300,"Ground out of 4","Carpet Area","Garia Station, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"24","2022-06-15",3,6500,1600,"Ground out of 2","Super Area","Joka","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"25","2022-05-28",1,8000,400,"1 out of 2","Super Area","Sreebhumi","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent"
"26","2022-05-22",2,7000,1000,"1 out of 1","Super Area","Rajarhat","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"27","2022-06-18",1,5300,355,"1 out of 1","Carpet Area","Dum Dum","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"28","2022-06-25",2,6000,1000,"Ground out of 3","Super Area","Kodalia, Hooghly-Chinsurah","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"29","2022-06-22",2,8500,800,"4 out of 5","Super Area","Baguiati","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"31","2022-05-21",1,7500,350,"Ground out of 2","Carpet Area","Baghajatin","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"32","2022-06-26",2,15000,900,"Ground out of 2","Carpet Area","Project Kaikhali, Vip Road","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"33","2022-06-16",2,6000,550,"1 out of 1","Super Area","Vip Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"34","2022-06-29",2,5000,500,"Ground out of 2","Carpet Area","Baruipur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"35","2022-05-10",3,22000,1100,"2 out of 3","Carpet Area","Dumdum Park","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"36","2022-05-12",2,15000,850,"1 out of 2","Carpet Area","Sreebhumi","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"37","2022-06-03",2,12500,800,"2 out of 2","Carpet Area","Shyam Bazar","Kolkata","Unfurnished","Bachelors",1,"Contact Agent"
"38","2022-05-31",2,7000,630,"Ground out of 3","Carpet Area","Birati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"39","2022-06-10",2,21000,900,"1 out of 2","Carpet Area","Bansdroni","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner"
"40","2022-06-24",1,10000,270,"1 out of 2","Carpet Area","Jadavpur University","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"41","2022-06-29",2,7200,630,"Ground out of 1","Carpet Area","Birati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"42","2022-05-12",3,12000,1500,"Ground out of 2","Carpet Area","Bhadrakali","Kolkata","Furnished","Bachelors",2,"Contact Owner"
"43","2022-06-26",1,5000,600,"2 out of 5","Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"44","2022-04-30",2,8500,700,"4 out of 14","Carpet Area","Baruipur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"45","2022-05-27",1,6000,300,"Ground out of 3","Super Area","Ballygunge","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"46","2022-06-06",2,10000,1300,"Ground out of 1","Super Area","Kalikapur","Kolkata","Semi-Furnished","Family",2,"Contact Owner"
"47","2022-05-20",2,4600,400,"3 out of 3","Carpet Area","Behala","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner"
"48","2022-07-02",2,12000,650,"Ground out of 1","Super Area","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Family",2,"Contact Owner"
"49","2022-05-26",3,30000,2000,"Ground out of 2","Super Area","Behala","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"50","2022-05-12",3,15000,1068,"Ground out of 3","Super Area","Bansdroni","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"51","2022-06-22",1,7500,150,"1 out of 1","Super Area","Salt Lake City","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"53","2022-07-03",2,5000,800,"Ground out of 1","Carpet Area","Baruipur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"54","2022-04-23",2,15000,1000,"Ground out of 2","Super Area","Bansdroni","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"55","2022-05-14",2,11000,900,"5 out of 5","Super Area","Pancha Sayar","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner"
"56","2022-05-27",1,7000,600,"Ground out of 2","Carpet Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"57","2022-06-19",2,6000,1200,"1 out of 1","Super Area","Hooghly-Chinsurah","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"58","2022-06-19",2,6000,1200,"2 out of 2","Super Area","Hooghly-Chinsurah","Kolkata","Semi-Furnished","Bachelors",2,"Contact Owner"
"59","2022-07-02",2,7000,650,"Ground out of 3","Super Area","Amtala, Diamond Harbour Road","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"60","2022-07-06",2,8500,720,"4 out of 4","Carpet Area","Shrachi Village, Madhyam Gram","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"61","2022-07-02",1,5000,300,"1 out of 3","Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"62","2022-06-21",3,30000,1200,"Ground out of 2","Carpet Area","VIP Road Haldiram","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent"
"63","2022-06-04",2,10000,700,"7 out of 8","Carpet Area","Sarsuna","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"64","2022-06-24",3,30000,2000,"1 out of 3","Super Area","Naihati","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"65","2022-05-14",1,3500,250,"Ground out of 4","Super Area","Baksara","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"66","2022-06-26",2,8000,1100,"Ground out of 3","Carpet Area","Naihati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"67","2022-07-02",1,5000,300,"Ground out of 2","Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"69","2022-05-18",2,6500,800,"Ground out of 2","Carpet Area","Chak Thakurani, Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"70","2022-06-07",1,7500,680,"1 out of 3","Super Area","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"71","2022-06-07",1,7500,680,"Ground out of 2","Super Area","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"72","2022-06-26",2,16000,850,"1 out of 4","Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent"
"73","2022-06-26",2,16000,850,"1 out of 2","Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent"
"75","2022-05-22",3,40000,1500,"Ground out of 2","Super Area","Beliaghata","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"76","2022-06-18",2,12500,950,"1 out of 4","Super Area","Magnolia Prestige, Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"77","2022-06-08",2,5500,500,"Ground out of 2","Super Area","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"78","2022-06-25",1,5000,450,"2 out of 4","Carpet Area","Dum Dum Heights, Jessore Road","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"79","2022-05-03",2,6500,700,"Ground out of 2","Super Area","Sonarpur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"80","2022-05-12",1,8000,500,"1 out of 2","Super Area","Lake Town","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"81","2022-06-01",3,14500,1800,"Ground out of 2","Super Area","Belghoria","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"82","2022-05-23",1,8200,500,"1 out of 3","Carpet Area","Rabindra Pally, Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"83","2022-05-23",2,15000,480,"Ground out of 3","Carpet Area","shukhobrishti","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner"
"84","2022-06-21",6,20000,1000,"1 out of 1","Super Area","Sonarpur","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"85","2022-06-22",2,6700,800,"1 out of 2","Super Area","Baishnavghata patuli , house number s-300 Kolkata 700094","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"86","2022-05-27",1,10000,435,"2 out of 3","Super Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"87","2022-05-07",2,7000,700,"Ground out of 2","Carpet Area","Dum Dum Metro","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"88","2022-06-25",2,22000,800,"4 out of 4","Super Area","Hazra, Kalighat","Kolkata","Furnished","Bachelors/Family",1,"Contact Agent"
"89","2022-06-27",2,6500,450,"1 out of 3","Super Area","Ajoy Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"90","2022-05-31",2,8500,550,"2 out of 3","Carpet Area","Kasba -East","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent"
"91","2022-06-03",2,18000,800,"Ground out of 4","Carpet Area","Salt Lake City","Kolkata","Unfurnished","Bachelors",2,"Contact Agent"
"92","2022-06-27",2,12000,550,"Ground out of 2","Carpet Area","Baghajatin","Kolkata","Semi-Furnished","Family",2,"Contact Owner"
"94","2022-06-09",1,6000,500,"Ground out of 1","Super Area","New Garia, Garia","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"95","2022-04-28",2,20000,1000,"1 out of 2","Super Area","Anandapur","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner"
"96","2022-05-23",1,5000,300,"1 out of 2","Carpet Area","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"97","2022-06-28",2,12000,1200,"1 out of 3","Super Area","Boral","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner"
"98","2022-06-23",2,10000,500,"3 out of 4","Carpet Area","Rabindra Pally, Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"99","2022-04-29",4,18000,1200,"1 out of 2","Super Area","Bagbazar","Kolkata","Unfurnished","Family",2,"Contact Owner"
"100","2022-06-13",2,15000,900,"1 out of 2","Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"101","2022-06-13",3,22000,1300,"Ground out of 2","Carpet Area","Salt Lake City Sector 2","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent"
"102","2022-06-13",4,35000,1600,"1 out of 5","Carpet Area","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Agent"
"104","2022-07-06",2,25000,1100,"2 out of 2","Super Area","Action Area 1, Rajarhat Newtown","Kolkata","Furnished","Bachelors",2,"Contact Agent"
"105","2022-06-16",2,180000,950,"Ground out of 1","Carpet Area","Avenue S, Santoshpur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"106","2022-06-06",1,6000,600,"8 out of 5","Carpet Area","Pratiraksha Nagar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"107","2022-07-04",2,14000,700,"Ground out of 2","Carpet Area","Kudghat, Ashok Nagar","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"108","2022-05-15",3,8000,750,"Ground out of 2","Super Area","Sakher Bazar, Purba Barisha","Kolkata","Unfurnished","Family",1,"Contact Owner"
"109","2022-05-04",2,8000,1000,"Ground out of 1","Super Area","Purbasan, Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"110","2022-04-25",1,6000,220,"Ground out of 2","Super Area","Bidhan Pally, Bansdroni","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"111","2022-05-21",1,8000,300,"1 out of 3","Carpet Area","Naktala, Garia","Kolkata","Semi-Furnished","Bachelors",1,"Contact Agent"
"112","2022-06-27",1,6000,300,"Ground out of 1","Carpet Area","Tiljala Road","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"113","2022-07-02",1,20000,700,"1 out of 2","Super Area","Sankaritola","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"114","2022-07-06",3,12000,800,"Ground out of 1","Super Area","Parnashree Lake, Behala","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
